url	chapt_title	img_path
https://hutchdatascience.org/AnVIL_Demos/no_toc/index.html	About this Book	resources/chapt_screen_images/index.png
https://hutchdatascience.org/AnVIL_Demos/no_toc/learning-objectives.html	Learning Objectives	resources/chapt_screen_images/learning-objectives.png
https://hutchdatascience.org/AnVIL_Demos/no_toc/introduction.html	1 Introduction	resources/chapt_screen_images/introduction.png
https://hutchdatascience.org/AnVIL_Demos/no_toc/a-new-chapter.html	2 A new chapter	resources/chapt_screen_images/a-new-chapter.png
